Name,Jobs,Machines,AverageMachines,MaxDissimilarity,Beta-Value,C
2d_Hurink_vdata15,20,5, 2.50,350.0000,0.5000,175.0000
2d_Hurink_vdata16,20,5, 2.50,350.0000,0.5000,175.0000
2d_Hurink_vdata17,20,5, 2.50,350.0000,0.5000,175.0000
2d_Hurink_vdata18,20,5, 2.50,350.0000,0.5000,175.0000
0_BehnkeGeiger25,10,40, 11.36,618.0000,0.2840,175.5120
1_Brandimarte6,10,10, 3,600.0000,0.3000,180.0000
2c_Hurink_rdata34,30,10, 2,900.0000,0.2000,180.0000
2c_Hurink_rdata35,30,10, 2,900.0000,0.2000,180.0000
2c_Hurink_rdata36,30,10, 2,900.0000,0.2000,180.0000
2c_Hurink_rdata37,30,10, 2,900.0000,0.2000,180.0000
